原文	IPA	吳語	華語
Andalucia	/andaluˈθi.a/	安達盧西亞	安達盧西亞
Andorra	/ənˈdɔ.rə/	恩道拉	安道爾
Aquitaine/Aquitània		阿基塔尼亞	阿基坦，亞奎丹
Aragón	/aɾaˈɣon/	阿拉弘	阿拉貢，亞拉岡
België/Belgique/Belgien		培爾其	比利時
Bourgogne/Bregogne	/buʁɡɔɲ/	布崗尼	布/勃艮第/地
Breizh	/ˈbrɛjs/, /ˈbrɛx/	勃磊斯	布列塔尼
Britain	/ˈbɹɪt.ən/	勃列敦	不列顛
Castilla	/kasˈtiʎa/	卡斯蒂亞	卡斯蒂利亞，卡斯提亞
Catalunya	/kə.təˈlu.ɲə/	加泰羅尼亞	加泰羅/隆尼亞
Danmark	[ˈtænmɑk]	丹麥	丹麥
Dauphiné/Daufinat/Dôfenât		道菲內	多菲內
Deutschland	/ˈdɔʏ̯t͡ʃlant/	獨逸幟（獨國）	德意志
England	/ˈɪŋɡlənd/	英倫	英格蘭
España	/esˈpaɲa/	埃斯巴尼亞	西班牙
Euskadi	/eus.ka.di/	歐斯加提	巴斯克（西班牙語，英語）
France	/fʁɑ̃s/	法郎斯（法國）	法蘭西（法國）
Føroyar	[ˈfœɹjaɹ]	法羅羣島	法羅群島
Galicia	/ɡaˈliθjɐ/	伽利西亞	加利西亞
Gasconha/Gascogne	/ɡasˈkuɲ(ɔ|a)/ /ɡaskɔɲ/	伽斯科涅	加斯科涅
Granada	/ɡɾaˈnaða/	搿拉納達	格拉納達
Italia	/iˈta.lja/	伊太利亞	意大利
Kalaallit Nunaat	[kə.ləːɬ.ɬɪt nʉ.nəːt]	格勒西	格陵蘭（丹麥語，英語）
León	/leˈon/	雷盎	莱/雷昂
Lutèce/Lutècia		盧台西亞	盧泰西亞
Marseille/Marselha		馬賽	馬賽
Navarra/Nafarroa	/naˈβara/, /nafaˈroa/	納伐拉	納瓦拉
Nederland	/ˈneː.dərˌlɑnt/	內特朗	荷蘭/尼德蘭
Norge/Noreg	/ˈnɔɾɡə/, /ˈnoːrə(ɡ)/	拿勒搿	挪威（丹麥語，英語）
Occitània	/u(k|t)siˈtanj(ɔ|a)/	奧克西塔尼亞	奧克西塔尼亞
Portugal	/puɾ.tuˈɡal/	布都何爾（布國）	葡萄牙
Savoia		薩伏耶	薩伏依，薩沃亞
Scotland/Alba	/ˈskɔʔ.lənd/	斯各倫/阿爾排	蘇格蘭
Suisse/Schwyz	/sɥis/, /ʃviːt͡s/	舒依斯/舒維茲	瑞士
Suomi	/ˈsuo̯mi/	沙迷	芬蘭
Sverige	/ˈsvɛrjɛ/	斯凡亞國	瑞典（英）
Sápmi	/ˈsaːpmiː/	薩迷	薩米
Toledo	/toˈleðo/	托雷陀	托莱/雷/利多
Tolosa/Toulouse	/tu'luz(ɔ|a)/ /tuluz/	土魯茨	圖盧茲，土魯斯
UK	縮寫	大勃列敦咾北愛列聯合王國（英國）	大不列顛及北愛爾蘭聯合王國（英國）
València	/vaˈlensja/	伐倫西亞	瓦/巴/華倫西亞
Vizcaya/Bizkaia	/biθˈkaʝa/ /bis̻kai.a/	皮斯開亞	比斯開
Éire	/ˈeːɾʲə/	愛列	愛爾蘭
Ísland	弗是音譯	冰島	冰島
Piemonte/Piemont		比埃蒙得	皮埃蒙特
Genova/Zêna		善努亞	熱那亞，热诺瓦
Lombardia/Lumbardéa		伦巴第	伦巴第/底
Venezia/Venesia		凡尼西亞	威尼斯（英語）
Roma		羅馬	羅馬
Marche		馬爾凱	馬爾凱
Napoli		那波利	那不勒斯，那/拿坡/波里/利
Puglia		普利亞	普利亞
Calabria/Καλαβρία		卡拉勃里亞	卡拉布里亞
Franken		弗蘭肯	弗蘭肯，法蘭克尼亞
Bayern		培恩	巴伐利亞，拜仁
Westfalen		西法倫	威斯特法倫，西法倫，西發利亞（英語）
Friesland/Frieslande...		弗里斯蘭	弗里斯蘭，菲士蘭，非里西亞（英語）
Preußen/Prūsa		普魯斯	普魯士
Österreich	/ˈøːstɛˌɾeɪ̯ç/	安斯坦萊斯（安國）	奧地利
Liechtenstein	/lɪçtn̩ˌʃtaɪ̯n/	列支敦斯登	列支敦斯登
Vlaanderen/Flandern		弗郎特	法蘭德斯（英語），佛蘭德，佛拉蒙/芒
Luxemburg/Lëtzebuerg/Luxembourg		盧森堡	盧森堡
Čechy/Bohemia		婆希米亞（拉丁語）	波希米亞（拉丁語）
Zeeland/Zeêland	/ˈzeːlɑnt/ /ˈzɪəlɑnt/	崔蘭	澤/西/熱蘭
Sachsen/Saggsn		薩克森	薩克森
Hungaria			
Magyarország	/'mɒɟɒrorsaːɡ/	馬喬爾國	匈牙利
Hrvatska	/xř̩ʋaːtskaː/	黑勒伐次卡	克羅埃西亞，克羅地亞
Dalmacija	/dǎlmaːtsija/	達爾馬萋亞	達爾馬提亞
Transsilvania		森外	外西凡尼亞，特兰西瓦尼亞，錫本比根（德語）
Polska		波斯卡	波蘭
Morava		摩拉伐	摩拉維亞
România		羅馬尼亞	羅馬尼亞
Byzantium/Βυζάντιον		毗湛町	拜占庭
Ямбол(Yambol)		揚薄爾	揚博爾
Shqipëri		詩溪碧利	阿爾巴尼亞
Ἑλλάς		希臘	希臘
Македонија(Makedonija)/Μακεδονία		馬凱陀尼亞	馬其頓
Pannonia		潘諾尼亞	潘諾尼亞
България(Bŭlgariya)		勃伽利亞	保加利亞
Jütland/Jylland		俞蘭	日德蘭
Finnmark/Finnmárku		芬麥克	芬馬克
Götaland	/ˈjø̂ːtaˌland/	越塔蘭	約塔蘭
Россия(Rossiya)		羅宋	俄羅斯
